name,salary_from,salary_to,salary_currency,area_name,published_at
Исполнительный директор,,,,Киров (Кировская область),2022-12-12T00:17:24+0300
Дежурный системный администратор,67000.0,,RUR,Владивосток,2022-12-12T03:44:00+0300
Специалист технической поддержки (удаленно),37500.0,46000.0,RUR,Самара,2022-12-12T07:53:20+0300
Инженер технической поддержки офиса,65517.0,65517.0,RUR,Санкт-Петербург,2022-12-12T07:36:32+0300
Монтер пути транспортного цеха,28237.0,28300.0,RUR,Миасс,2022-12-12T07:19:58+0300
Системный администратор,,,,Барнаул,2022-12-12T05:10:53+0300
Руководитель проектов,,,,Екатеринбург,2022-12-12T07:52:24+0300
Токарь,,,,Алматы,2022-12-12T06:13:49+0300
Сервисный инженер,50000.0,70000.0,RUR,Екатеринбург,2022-12-12T07:08:40+0300
Инженер-механик по вентиляции,70000.0,85000.0,RUR,Москва,2022-12-12T07:43:10+0300
Сервисный механик,,300000.0,KZT,Алматы,2022-12-12T06:28:53+0300
Системный администратор,,,,Магадан,2022-12-12T01:50:53+0300
Эрозионист,45000.0,,RUR,Пермь,2022-12-12T07:13:02+0300
Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Арсеньев,2022-12-12T05:55:45+0300
Фрезеровщик,50000.0,50000.0,RUR,Новотроицк (Оренбургская область),2022-12-12T06:55:30+0300
Наладчик КИПиА,42000.0,42000.0,RUR,Бердск,2022-12-12T04:19:09+0300
Механик,35000.0,,RUR,Кореновск,2022-12-12T07:44:08+0300
Аналитик данных,,45000.0,RUR,Владивосток,2022-12-12T04:58:16+0300
Специалист сервисного центра,30000.0,,RUR,Торжок,2022-12-12T07:30:51+0300
Системный администратор,,,,Томск,2022-12-12T07:45:05+0300
Монтер пути транспортного цеха,28237.0,28300.0,RUR,Кыштым,2022-12-12T07:19:58+0300
Токарь,,80000.0,RUR,Пермь,2022-12-12T07:45:27+0300
Системный администратор,30000.0,50000.0,RUR,Новосибирск,2022-12-12T04:54:56+0300
Веб-программист,50000.0,,RUR,Саратов,2022-12-12T07:29:57+0300
Монтажник слаботочных систем,40000.0,,RUR,Сургут,2022-12-12T06:15:51+0300
Go разработчик / GoLang Developer,100000.0,200000.0,RUR,Москва,2022-12-12T07:18:01+0300
Программист 1С,120000.0,150000.0,RUR,Владивосток,2022-12-12T06:49:46+0300
Оператор станков с программным управлением,,,,Барнаул,2022-12-12T03:58:10+0300
Специалист технической поддержки,55000.0,,RUR,Владивосток,2022-12-12T03:44:00+0300
Начальник ИТ-отдела,,,,Оренбург,2022-12-12T07:10:28+0300
Руководитель проектов,350000.0,500000.0,KZT,Алматы,2022-12-12T06:11:58+0300
Токарь 5 разряда,120000.0,,RUR,Ноябрьск,2022-12-12T07:35:22+0300
Оператор токарных станков с ЧПУ,,,,Новосибирск,2022-12-12T06:23:58+0300
Токарь,,,,Ангарск,2022-12-12T04:46:17+0300
Инженер транспортных сетей связи,65000.0,,RUR,Владивосток,2022-12-12T04:28:52+0300
Мастер по обслуживанию абонентов,35000.0,,RUR,Новоспасское (Ульяновская область),2022-12-12T06:45:09+0300
Плавильщик,50300.0,,RUR,Челябинск,2022-12-12T06:08:10+0300
Инженер сервисной службы,60000.0,67000.0,RUR,Новосибирск,2022-12-12T07:08:11+0300
Инженер ОПС,70000.0,195000.0,RUR,Комсомольск-на-Амуре,2022-12-12T06:50:12+0300
Начальник отдела разработки ПО (SAP ERP),,,,Саратов,2022-12-12T06:41:09+0300
Backend-Тимлид в UGC,,,,Москва,2022-12-12T07:37:14+0300
Специалист поддержки MES системы,,,,Томск,2022-12-12T07:44:51+0300
Креативный продюсер в отдел спецпроектов,40000.0,60000.0,RUR,Краснодар,2022-12-12T00:37:55+0300
Фрезеровщик,40000.0,,RUR,Ижевск,2022-12-12T07:38:13+0300
Программист 1C,80000.0,120000.0,RUR,Владивосток,2022-12-12T05:56:02+0300
Технический специалист,,,,Алматы,2022-12-12T05:41:56+0300
Оператор станков с числовым программным управлением,,,,Омск,2022-12-12T06:24:29+0300
Наладчик технологического оборудования (хлебное производство),30000.0,,RUR,Кемерово,2022-12-12T05:30:23+0300
Токарь,50000.0,,RUR,Новокузнецк,2022-12-12T07:32:11+0300
Инженер премиального холодильного оборудования,70000.0,120000.0,RUR,Санкт-Петербург,2022-12-12T00:35:02+0300
Начальник отдела автотранспортного обеспечения,,,,Иркутск,2022-12-12T04:54:58+0300
Токарь,50000.0,,RUR,Омск,2022-12-12T07:06:46+0300
Монтажник кабельных сетей,40000.0,,RUR,Магадан,2022-12-12T06:13:57+0300
Системный администратор Linux,,,,Владивосток,2022-12-12T01:59:54+0300
Программист 1С (Академгородок),,,,Новосибирск,2022-12-12T06:08:33+0300
Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Вяземский,2022-12-12T05:55:45+0300
Системный администратор,,,,Находка,2022-12-12T01:56:59+0300
Ведущий бизнес / системный аналитик SAP ERP FI,,,,Каменск-Уральский,2022-12-12T07:45:42+0300
Ведущий специалист 1С,100000.0,,RUR,Новокузнецк,2022-12-12T07:35:03+0300
Специалист по исследованию рынка,,,,Алматы,2022-12-12T07:25:50+0300
Битрикс программист,,,,Москва,2022-12-12T07:55:26+0300
Механик автоколонны,,65000.0,RUR,Сургут,2022-12-12T07:30:50+0300
"Администратор сайта с навыками веб разработки, контент-менеджер",28000.0,,RUR,Барнаул,2022-12-12T05:17:37+0300
Программист 1С,120000.0,140000.0,RUR,Нижний Новгород,2022-12-12T07:28:52+0300
Стажер по ремонту холодильников,60000.0,70000.0,RUR,Барнаул,2022-12-12T04:33:26+0300
DevOps инженер,,,,Владивосток,2022-12-12T01:59:47+0300
Руководитель направления по информационной безопасности,,,,Москва,2022-12-12T07:57:27+0300
Наладчик станков с программным управлением (ЧПУ),45000.0,60000.0,RUR,Омск,2022-12-12T07:06:46+0300
Специалист технической поддержки (начинающий специалист),,,,Усть-Каменогорск,2022-12-12T05:16:49+0300
Преподаватель по курсу «Adobe Photoshop»,,,,Алматы,2022-12-12T07:20:59+0300
Токарь,,75000.0,RUR,Пенза,2022-12-12T07:38:43+0300
Главный специалист отдела технической поддержки,55000.0,,RUR,Новосибирск,2022-12-12T06:57:36+0300
FullStack Python Developer,,,,Астана,2022-12-12T06:09:15+0300
Электромеханик,46000.0,,RUR,Пенза,2022-12-12T07:32:05+0300
"Электромеханик по средствам автоматики и приборам технологического оборудования, 6 разряд",35600.0,35600.0,RUR,Челябинск,2022-12-12T06:20:08+0300
Монтер пути транспортного цеха,28237.0,28300.0,RUR,Верхний Уфалей,2022-12-12T07:19:58+0300
Техник ОПС,35000.0,,RUR,Новосибирск,2022-12-12T07:09:01+0300
Ведущий инженер-программист – Веб-дизайнер,50000.0,,RUR,Омск,2022-12-12T07:06:46+0300
Мастер по ремонту компьютеров,70000.0,,RUR,Курган,2022-12-12T07:15:41+0300
Технический писатель - инженер по документированию,,,,Томск,2022-12-12T05:11:47+0300
Токарь,35000.0,40000.0,RUR,Красноярск,2022-12-12T05:08:49+0300
Токарь-фрезеровщик,30000.0,,RUR,Троицк (Челябинская область),2022-12-12T07:05:31+0300
Токарь участка механообработки,45000.0,50000.0,RUR,Томск,2022-12-12T04:57:58+0300
Фрезеровщик,30000.0,50000.0,RUR,Омск,2022-12-12T07:06:46+0300
Программист C++,50000.0,,RUR,Томск,2022-12-12T05:05:59+0300
Токарь-фрезеровщик,50000.0,,RUR,Красноярск,2022-12-12T04:39:51+0300
Механик участка,80000.0,100000.0,RUR,Томск,2022-12-12T07:33:23+0300
Программист Си под ОС Linux,50000.0,,RUR,Томск,2022-12-12T04:59:44+0300
Сервисный инженер (обслуживание погрузочной и спецтехники),,,,Новокузнецк,2022-12-12T06:54:56+0300
Java Developer (Middle/Senior),,,,Москва,2022-12-12T07:34:55+0300
Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Благовещенск (Амурская область),2022-12-12T05:55:45+0300
Продакт-менеджер (услуга),,,,Новосибирск,2022-12-12T07:28:49+0300
Специалист 1С,80000.0,,RUR,Новокузнецк,2022-12-12T07:31:04+0300
Системный администратор,,,,Усть-Кут,2022-12-12T03:57:37+0300
Системный администратор,33000.0,33000.0,RUR,Владивосток,2022-12-12T03:20:10+0300
Инженер по гарантии,31500.0,,RUR,Новокузнецк,2022-12-12T06:41:46+0300
Программист 1С,120000.0,150000.0,RUR,Артем,2022-12-12T06:49:43+0300
Инженер-программист,60000.0,60000.0,RUR,Тюмень,2022-12-12T07:53:13+0300
Механик,35000.0,,RUR,Платнировская,2022-12-12T07:44:04+0300
Data Engineer (Middle),100000.0,,RUR,Владивосток,2022-12-12T03:30:05+0300
Ведущий системный аналитик,100000.0,,RUR,Владивосток,2022-12-12T03:44:00+0300
Ведущий инженер-системный программист,31600.0,35000.0,RUR,Тюмень,2022-12-12T07:50:45+0300
Системный администратор,,,,Новосибирск,2022-12-12T05:09:47+0300
Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Спасск-Дальний,2022-12-12T05:55:45+0300
Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Уссурийск,2022-12-12T05:55:45+0300
Руководитель направления системного анализа,,,,Новосибирск,2022-12-12T04:10:04+0300
Монтажник интернет сетей,20280.0,20280.0,RUR,Орск,2022-12-12T06:44:16+0300
Программист-разработчик 1С,65000.0,,RUR,Кемерово,2022-12-12T05:33:47+0300
Главный механик/механик,70000.0,,RUR,Пермь,2022-12-12T06:01:23+0300
Ведущий системный администратор,,120000.0,RUR,Владивосток,2022-12-12T06:34:44+0300
Консультант 1С,60000.0,130000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
Инженер отдела поддержки проектов (DevOps инженер),,,,Армения,2022-12-12T07:21:06+0300
Программист C# MS SQL,109344.0,275381.0,RUR,Красноярск,2022-12-12T07:36:29+0300
Токарь (2-4 разряд),30000.0,50000.0,RUR,Екатеринбург,2022-12-12T05:35:27+0300
Фрезеровщик,33000.0,,RUR,Ишимбай,2022-12-12T06:47:11+0300
Наладчик станков и манипуляторов с программным управлением,,,,Барнаул,2022-12-12T03:58:14+0300
Аналитик-Консультант 1С,,,,Челябинск,2022-12-12T07:45:11+0300
Руководитель проектов по внедрению инструментов ОТ и ПБ,,,,Москва,2022-12-12T07:59:45+0300
Специалист группы технической поддержки,35000.0,45000.0,RUR,Томск,2022-12-12T04:58:27+0300
Токарь-расточник (5-6 разряд),,,,Ульяновск,2022-12-12T06:51:43+0300
Программист 1C,40000.0,100000.0,RUR,Чита,2022-12-12T04:12:17+0300
Токарь 4 разряд в турбодизельный цех,,70000.0,RUR,Владивосток,2022-12-12T01:15:56+0300
"Начальник отдела охраны труда , промышленной безопасности и БДД (Сахалинская область)",150000.0,150000.0,RUR,Южно-Сахалинск,2022-12-12T07:28:21+0300
Фрезеровщик 5 разряда,104000.0,,RUR,Ноябрьск,2022-12-12T07:37:01+0300
Ведущий инженер/IT-специалист (системный администратор),45000.0,55000.0,RUR,Иркутск,2022-12-12T07:14:30+0300
Руководитель проекта в строительную компанию,60000.0,,RUR,Барнаул,2022-12-12T07:25:56+0300
Тестировщик 1С/программист 1С,65000.0,80000.0,RUR,Нижний Новгород,2022-12-12T07:28:53+0300
Механик обогатительной фабрики,150000.0,,RUR,Нерюнгри,2022-12-12T05:42:21+0300
Системный инженер,50000.0,56000.0,RUR,Владивосток,2022-12-12T05:32:02+0300
Аналитик,,,,Владивосток,2022-12-12T03:44:00+0300
Сервисный инженер,55000.0,70000.0,RUR,Уссурийск,2022-12-12T02:51:57+0300
Full-stack разработчик CMS 1С-Битрикс (Bitrix) (Санкт-Петербург),120000.0,200000.0,RUR,Санкт-Петербург,2022-12-12T07:08:49+0300
Токарь,43000.0,57000.0,RUR,Новотроицк (Оренбургская область),2022-12-12T07:04:16+0300
Техник по обслуживанию вентиляции и систем кондиционирования,50000.0,,RUR,Екатеринбург,2022-12-12T07:35:31+0300
Механик,80000.0,80000.0,RUR,Мыски,2022-12-12T07:16:24+0300
Программист 1С,120000.0,,RUR,Хабаровск,2022-12-12T05:00:24+0300
Начальника отдела информационно-технического обеспечения управления информационных технологий,,,,Нерюнгри,2022-12-12T05:30:56+0300
Инженер-механик,60000.0,,RUR,Новосибирск,2022-12-12T06:52:44+0300
Системный администратор,,,,Пермь,2022-12-12T06:57:24+0300
Электромеханик,,,,Москва,2022-12-12T07:33:47+0300
Системный аналитик 1С (Senior),125000.0,150000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
Ведущий специалист по информационной безопасности,90000.0,90000.0,RUR,Новосибирск,2022-12-12T04:49:02+0300
"Токарь , фрезеровщик, токарь-расточник, оператор ЧПУ, станочник ШП, шлифовщик, зуборезчик",120000.0,250000.0,KZT,Павлодар,2022-12-12T06:49:53+0300
Программист 1С (IT аккредитация),80000.0,175000.0,RUR,Кемерово,2022-12-12T06:14:27+0300
Разработчик Naumen Service Desk,,,,Москва,2022-12-12T07:45:43+0300
Программист 1C,70000.0,115000.0,RUR,Бердск,2022-12-12T04:20:25+0300
Механик,36000.0,36000.0,RUR,Новосибирск,2022-12-12T07:45:57+0300
Токарь-расточник,40000.0,,RUR,Октябрьский (Республика Башкортостан),2022-12-12T06:47:03+0300
Php-программист/программист Symfony,,,,Нижний Новгород,2022-12-12T07:28:53+0300
Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Находка,2022-12-12T05:55:45+0300
Оператор-наладчик станков с программным управлением,,60000.0,RUR,Пермь,2022-12-12T07:35:47+0300
Редактор рекламных подкастов,40000.0,40000.0,RUR,Краснодар,2022-12-12T00:37:55+0300
Токарь 6 разряда в турбодизельный цех,,80000.0,RUR,Владивосток,2022-12-12T01:17:34+0300
Плавильщик (катодный цинк),50300.0,,RUR,Челябинск,2022-12-12T06:08:10+0300
Руководитель проекта,80000.0,,RUR,Челябинск,2022-12-12T07:23:17+0300
Экономист отдела ценообразования,40000.0,50000.0,RUR,Владивосток,2022-12-12T04:09:16+0300
Главный механик (г. Черепаново),,,,Новосибирск,2022-12-12T04:11:46+0300
Сервисный инженер,45000.0,,RUR,Новосибирск,2022-12-12T07:09:00+0300
SRE инженер,,,,Москва,2022-12-12T06:55:16+0300
Руководитель отдела инфраструктуры,,,,Пермь,2022-12-12T06:57:24+0300
Битрикс программист,,,,Воронеж,2022-12-12T07:54:16+0300
Механик транспортного участка (АТЦ),,,,Нефтекамск,2022-12-12T07:43:21+0300
Программист 1С (ERP),150000.0,,RUR,Пермь,2022-12-12T07:31:37+0300
Программист 1С,,,,Новосибирск,2022-12-12T04:31:30+0300
Системный администратор,45000.0,,RUR,Хабаровск,2022-12-12T03:44:00+0300
Механик,36000.0,36000.0,RUR,Бердск,2022-12-12T07:46:26+0300
Ведущий инженер сетевых платформ,,,,Новосибирск,2022-12-12T04:17:36+0300
